;ID;Pays;INT02;Q1;Q2;Q3;Q4;Q5;Q6;INT04;V_ACCORD;V6;V7_1;V7_2;V8;V9;V10;V11;V12;V13;V14_1;V14_2;V14_3;V14_4;V14_4_PRE;V14_4_TRANS;V14_1R;V14_2R;V14_3R;V15_1;V15_2;V15_3;V20;V21_1;V21_2;V21_3;V21_4;V21_5;V21_6;V21_7;V21_8;V21_9;V21_10;V21_11;V22_1;V22_2;V22_3;V22_4;V22_5;V23C1;V23C2;V23C3;V23C4;V23C5;V23C6;V23C7;V23C8;V23C9;V23C10;V23C11;V23C12;V23C12O;V23C12O_TRANS;V23C13;V23C13O;V23C13O_TRANS;V23C14;V23C14O;V23C14O_TRANS;V23C15;V23C16;V23C17;V24;V25;V26;V26O;V26O8_TRANS;V27;V28;V29;V30;V31;V31_1;V32;V32_PRE;V33;V34;V35;V35_1;TEST_REVENU;V36;V37;V38;V39;V40;V40_1;V40_2;V41;TEST_FIXE;V42;TEST_MOBILE;V42_1;REMARQUE;REMARQUEO
5355;SU_427;SU;6;1;NA;NA;1;NA;NA; ;1;300000;1;4;3;1;1;4;1;4;1;1;2;2; ;;1;1;2;1;1;1;1;2;1;3;3;2;3;1;1;5;1;1;4;3;2;2;5;1;0;0;0;0;1;0;0;0;0;0;1;Inte råd att betala hyra.;Can not afford to pay rent.;0; ; ;0; ; ;0;0;0;1;1;1; ; ;3;3;NA;2;1963;NA;170; ;4;6;35000;NA;NA;5;5;3;1;NA;15148;1;0;NA;4;NA;1;1;NA
5356;SU_428;SU;6;1;NA;NA;1;NA;NA; ;1;500000;15;20;2;1;1;4;1;1;2;1;2;2; ;;1;2;2;1;1;1;1;1;1;3;2;1;2;4;2;5;2;1;4;2;2;2;5;0;0;0;1;0;0;1;0;0;0;0;0; ; ;0; ; ;1;Psykiskt sjukdom, depression, ingen hjälp från samhället;Mental illness, depression, no help from society;0;0;0;1;1;11;Alla;All.;3;3;NA;2;1964;NA;170; ;3;7;276000;NA;NA;5;1;0;NA;NA;16933;1;0;NA;1;NA;1;1;NA
5357;SU_429;SU;6;1;NA;NA;1;NA;NA; ;1;60000;30;70;1;1;1;3;1;4;1;1;2;2; ;;1;2;2;1;1;1;1;1;1;4;2;4;4;4;2;4;4;4;1;1;5;5;1;1;0;0;0;1;0;0;0;0;1;0;0; ; ;0; ; ;0; ; ;0;0;0;2;2;3; ; ;1;3;NA;1;1965;NA;170; ;2;1;99999998;7;NA;1;2;2;0;NA;OREBRO;1;1;NA;2;NA;1;1;NA
5358;SU_430;SU;6;1;NA;NA;1;NA;NA; ;1;35000;40;75;1;1;1;3;1;3;1;1;1;2; ;;2;1;1;1;2;2;2;2;2;3;2;3;3;3;2;2;3;1;3;3;3;3;1;0;0;1;0;0;1;0;0;0;1;0;0; ; ;0; ; ;0; ; ;0;0;0;1;1;8; ; ;1;3;NA;2;1952;NA;170; ;2;1;99999998;6;NA;1;2;0;NA;NA;OREBRO;1;1;NA;2;NA;1;1;NA
5359;SU_431;SU;6;1;NA;NA;1;NA;NA; ;1;10000;80;40;3;1;1;4;1;1;1;1;2;2; ;;1;2;2;1;1;1;3;1;1;1;2;2;2;1;1;1;1;5;4;1;1;1;1;1;1;0;0;0;1;0;0;0;0;0;0; ; ;0; ; ;0; ; ;0;0;0;1;1;3; ;;3;3;NA;2;1981;NA;170; ;5;1;99999998;12;NA;4;2;0;NA;NA;51171;2;1;NA;2;NA;1;1;NA
5360;SU_432;SU;6;1;NA;NA;1;NA;NA; ;1;50000;15;30;2;1;1;3;1;4;1;1;2;2; ;;1;2;2;1;1;1;1;1;1;4;4;3;2;1;2;4;1;1;4;4;3;2;1;0;0;0;0;0;1;0;1;0;0;1;0; ; ;0; ; ;0; ; ;0;0;0;1;1;4; ;;3;3;NA;2;1961;NA;170; ;1;1;99999998;10;NA;1;2;1;0;NA;61138;1;0;NA;2;NA;1;1;NA
5361;SU_433;SU;6;1;NA;NA;1;NA;NA; ;1;300000;30;50;4;1;1;3;2;4;1;1;2;2; ;;1;1;2;1;1;2;1;1;1;5;1;1;4;1;1;5;1;1;1;4;2;5;1;0;0;0;0;0;1;1;1;0;0;0;0; ; ;0; ; ;0; ; ;0;0;0;1;1;4; ;;1;3;NA;2;1978;NA;174; ;2;1;95000;NA;NA;1;4;2;2;NA;15259;1;0;NA;3;NA;1;1;NA
5362;SU_434;SU;6;1;NA;NA;1;NA;NA; ;1;2500000;27;57;1;1;1;4;1;4;1;1;1;2; ;;2;1;2;1;1;1;1;1;1;4;4;1;4;2;1;4;1;1;4;4;4;4;1;0;0;0;0;0;1;0;0;1;0;0;1;can't gt an apartment;can't gt an apartment;0; ; ;0; ; ;0;0;0;1;1;1; ; ;3;3;NA;2;1972;NA;170; ;1;7;99999998;1;NA;5;1;1;0;NA;14262;1;0;NA;1;NA;1;1;NA
5363;SU_435;SU;6;1;NA;NA;1;1;NA;RV;1;900000;40;37;3;1;1;4;1;4;1;2;2;2; ;;1;1;2;2;1;1;3;4;1;4;1;1;4;1;1;4;1;1;4;4;1;4;1;0;0;0;0;0;1;0;1;0;1;0;0; ; ;0; ; ;0; ; ;0;0;0;1;1;11;emigrants;immigrants;2;3;NA;1;1999;NA;170; ;4;4;30000;NA;NA;4;3;0;NA;NA;VäSTRA GöTALAND;1;0;NA;9;NA;1;1;NA
5364;SU_436;SU;6;1;NA;NA;1;NA;NA; ;1;15000;35;35;2;1;1;4;1;3;1;1;4;2; ;;1;1;2;1;1;1;2;1;5;1;3;1;4;3;3;4;1;4;5;5;4;3;1;0;0;0;0;0;1;0;1;0;0;0;1;not enough places to live;not enough places to live;0; ; ;0; ; ;0;0;0;1;1;4; ; ;3;3;NA;1;1993;NA;170; ;4;7;12000;NA;NA;5;1;0;NA;NA;86531;2;0;NA;1;NA;1;1;NA
